asset,facility,state
160621,Scripps Mercy Hospital San Diego Campus,In Service
160624,Scripps Mercy Hospital San Diego Campus,In Service
162360,Scripps Mercy Hospital Chula Vista Campus,In Service
161599,Scripps Memorial Hospital La Jolla Campus,In Service
160838,Scripps Mercy Hospital San Diego Campus,In Service
161987,Scripps Mercy Hospital San Diego Campus,In Service
159792,Scripps Green Hospital Campus,In Service
160143,Scripps Memorial Hospital La Jolla Campus,In Service
159443,Scripps Mercy Hospital San Diego Campus,In Service
159525,Scripps Mercy Hospital San Diego Campus,In Service
166997,Scripps Memorial Hospital La Jolla Campus,In Service
166942,Scripps Mercy Hospital San Diego Campus,In Service
171990,Scripps Memorial Hospital La Jolla Campus,In Service
162377,Scripps Mercy Hospital Chula Vista Campus,In Service
162380,Scripps Mercy Hospital Chula Vista Campus,In Service
161536,Scripps Memorial Hospital La Jolla Campus,In Service
161626,Scripps Memorial Hospital La Jolla Campus,In Service
158682,Scripps Memorial Hospital Encinitas Campus,In Service
161916,Scripps Memorial Hospital Encinitas Campus,In Service
159947,Scripps Green Hospital Campus,In Service
160514,Scripps Mercy Hospital San Diego Campus,In Service
161365,Scripps Memorial Hospital La Jolla Campus,In Service
160662,Scripps Mercy Hospital San Diego Campus,In Service
160799,Scripps Mercy Hospital San Diego Campus,In Service
160802,Scripps Mercy Hospital San Diego Campus,In Service
160879,Scripps Mercy Hospital San Diego Campus,In Service
157623,Scripps Memorial Hospital La Jolla Campus,In Service
172460,Scripps Memorial Hospital Encinitas Campus,In Service
159900,Scripps Memorial Hospital La Jolla Campus,In Service
160193,Scripps Memorial Hospital La Jolla Campus,In Service
160079,Scripps Green Hospital Campus,In Service
157613,Scripps Green Hospital Campus,In Service
162342,Scripps Mercy Hospital Chula Vista Campus,In Service
154880,Scripps Memorial Hospital La Jolla Campus,In Service
161483,Scripps Memorial Hospital La Jolla Campus,In Service
158642,Scripps Memorial Hospital Encinitas Campus,In Service
160821,Scripps Mercy Hospital San Diego Campus,In Service
158722,Scripps Memorial Hospital Encinitas Campus,In Service
158872,Scripps Memorial Hospital Encinitas Campus,In Service
160118,Scripps Memorial Hospital La Jolla Campus,In Service
159886,Scripps Green Hospital Campus,In Service
159998,Scripps Green Hospital Campus,In Service
160324,Scripps Memorial Hospital La Jolla Campus,In Service
169042,Scripps Mercy Hospital San Diego Campus,In Service
160419,Scripps Memorial Hospital La Jolla Campus,In Service
160864,Scripps Memorial Hospital La Jolla Campus,In Service
161314,Scripps Memorial Hospital La Jolla Campus,In Service
161971,Scripps Memorial Hospital Encinitas Campus,In Service
